distance,latitude,longitude,yaw,heading,delta,precision
163.73544837339983,38.94250567749929,-92.31950303666767,86.28,149.37583753675324,235.65583753675324,2
163.7404882771466,38.94250570966018,-92.31950308121442,83.96,149.37531487466873,233.3353148746687,2
163.80565927812387,38.94250605545736,-92.31950380935949,56.81,149.36321108700014,206.17321108700014,2
164.24754074119784,38.94250915890247,-92.3195070982536,49.42,149.33918049701612,198.75918049701613,2
164.8483023964789,38.94251338609038,-92.31951155155609,57.71,149.30734039501874,207.01734039501875,2
165.82516620861176,38.942520108920775,-92.3195191161826,56.86,149.24479359572865,206.10479359572867,2
166.9153970162294,38.94252749019019,-92.31952781581332,74.5,149.16691640432907,223.66691640432907,2
167.47092269243961,38.94253093386613,-92.31953292843224,80.8,149.10416448081799,229.904164480818,2
168.03591086524386,38.94253396035979,-92.31953914267514,79.07,149.00583228713663,228.07583228713662,2
168.98397750448834,38.942538546527395,-92.31955059205879,82.14,148.80706286458008,230.94706286458006,2
170.00489868051076,38.94254322893993,-92.31956341073708,87.5,148.5783211176461,236.0783211176461,2
171.1931929450663,38.94254807818803,-92.31957950735675,89.23,148.27479854252329,237.5047985425233,2
172.37230419110543,38.94255234701861,-92.31959649292845,93.06,147.94242634074953,241.00242634074954,2
173.32293521848325,38.94255506616609,-92.31961156381288,101.59,147.63029817951286,249.22029817951287,2
174.26132047657717,38.94255669026693,-92.31962845596176,106.97,147.25637604651473,254.22637604651473,2
175.01912729953284,38.94255737127643,-92.31964322919907,115.94,146.91796999041816,262.85796999041816,2
175.37947454720293,38.942557647759024,-92.31965030205615,103.5,146.75600518329287,250.25600518329287,2
175.718335268204,38.94255840075072,-92.31965596436572,86.58,146.63742438776546,233.21742438776545,2
176.200554626888,38.94255956759406,-92.3196638102255,94.01,146.4763362213546,240.48633622135458,2
176.9409082609914,38.94256115698623,-92.31967618847504,91.94,146.21894475622264,238.15894475622264,2
177.92099145045376,38.94256358452691,-92.31969184853638,90.71,145.9047576648204,236.6147576648204,2
179.05002000276977,38.94256649774199,-92.31970953569397,92.88,145.55750032541778,238.43750032541777,2
180.09636896516525,38.94256919229022,-92.31972581983412,96.73,145.2418994474575,241.97189944745753,2
181.1831069628536,38.942571421944216,-92.31974365840573,99.91,144.8857658630243,244.7957658630243,2
182.1646275440877,38.942573037239846,-92.31976037105154,98.83,144.54637077442032,243.3763707744203,1
183.03176017392414,38.94257426531415,-92.31977538710613,93.84,144.24000239166685,238.08000239166685,1
184.01253249714793,38.94257580785891,-92.31979197779657,96.43,143.90866322330504,240.33866322330505,1
185.03939195795365,38.9425772662587,-92.31980949388947,102.61,143.55918593261413,246.16918593261414,2
185.97774003399118,38.94257833836884,-92.31982583355153,104.63,143.23075834907047,247.86075834907047,2
186.8364711636377,38.94257884913908,-92.31984148537181,101.56,142.90864570070408,244.4686457007041,2
188.34011740483243,38.94257979298982,-92.31986854350022,102.28,142.36001314399084,244.64001314399084,2
