distance,latitude,longitude,yaw,heading,delta,precision
165.17589947413555,38.942520156667165,-92.31950424832667,95.63,149.62904812834984,245.25904812834983,2
165.0065390319152,38.94252023221499,-92.31950020289898,95.67,149.73533994982375,245.40533994982377,2
164.92671070609381,38.942520278264446,-92.31949826849907,95.66,149.78643544535555,245.44643544535555,2
164.91021721029654,38.94252029389418,-92.31949785494488,95.66,149.79747796351404,245.45747796351404,2
164.90513859968013,38.94252028048093,-92.31949776783935,95.66,149.7994794438734,245.4594794438734,2
164.90412873478044,38.94252028436395,-92.31949773604815,95.66,149.80038056158736,245.46038056158736,2
164.90463515315594,38.94252029087568,-92.31949773330395,95.66,149.80057837902245,245.46057837902245,2
164.9033934372336,38.94252027963795,-92.31949772958625,95.66,149.80045654271936,245.46045654271936,2
164.90391630236874,38.942520278509654,-92.31949774409775,95.66,149.8000577312631,245.4600577312631,2
164.90709045884176,38.942520287474274,-92.31949779725649,89.56,149.79885136870678,239.35885136870678,2
164.97636697939103,38.942520598614486,-92.31949870215547,69.52,149.78140478786645,219.30140478786643,2
165.06949334122558,38.94252099066096,-92.31949997583168,77.91,149.75598078372315,227.66598078372314,2
165.23570670036466,38.94252166075316,-92.31950231249627,75.5,149.7084570296255,225.2084570296255,2
165.47714653302182,38.94252263761446,-92.31950569442542,77.67,149.63998006141838,227.3099800614184,2
165.8169739219967,38.94252398988361,-92.31951049495926,79.52,149.5424529217654,229.06245292176538,2
166.25190821424485,38.94252567408142,-92.3195167243772,80.1,149.41511550737437,229.51511550737436,2
166.7354351324164,38.942527488518145,-92.31952375337546,85.89,149.2705542729097,235.16055427290968,2
167.2932130669041,38.94252943586626,-92.31953214529207,88.46,149.09477701534252,237.5547770153425,2
167.90389509531042,38.94253143546826,-92.31954157531489,92.81,148.8949536463815,241.7049536463815,2
168.51519093434797,38.942533277993455,-92.31955130593029,94.04,148.68594299231154,242.72594299231156,2
169.1142323324844,38.942535037202674,-92.31956089094602,87.4,148.48044177316353,235.88044177316354,2
169.72692364910557,38.942536741473205,-92.31957084282537,91.43,148.26619884252568,239.6961988425257,2
170.38001351456768,38.942538375262146,-92.31958177098326,93.5,148.02801190167474,241.52801190167474,2
171.0783801191884,38.94253998950713,-92.31959365754143,93.16,147.76777160277732,240.9277716027773,2
171.809169460922,38.9425415231263,-92.31960632920762,92.88,147.48894665753926,240.36894665753925,2
172.57380503208316,38.94254295319065,-92.31961984383919,93.04,147.19007089606237,240.2300708960624,2
173.36910518122255,38.942544311112485,-92.3196340511738,94.52,146.87580682584291,241.3958068258429,2
174.18019889618776,38.94254550244631,-92.31964880573024,94.55,146.54807292063919,241.0980729206392,2
175.0212200147794,38.9425466571887,-92.31966413551757,93.62,146.20910963591467,239.82910963591468,2
175.87675906111156,38.94254783938328,-92.31967958740212,90.28,145.87111014208722,236.15111014208722,2
176.7402165270598,38.94254899140475,-92.3196951337567,93.93,145.5335952475266,239.4635952475266,2
177.62455598935242,38.942550079817316,-92.31971109773937,95.49,145.1885043759953,240.67850437599532,2
178.5252669120348,38.94255098050916,-92.31972760498212,95.4,144.83065864675973,240.23065864675974,2
179.451008844278,38.94255180773047,-92.3197446053928,97.09,144.4638200554515,241.5538200554515,2
180.39385180996598,38.942552559750325,-92.31976193299414,98.37,144.09192365668008,242.46192365668009,2
181.34699423785187,38.942553172378574,-92.31977955904028,99.69,143.7144379074873,243.4044379074873,2
182.2869314194256,38.94255360449508,-92.31979709033762,103.97,143.33921487447412,247.30921487447412,2
