distance,latitude,longitude,yaw,heading,delta,precision
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.92,-51.0358202674189,-116.9558202674189,nan
10208043.854242193,0.0,0.0,65.91,-51.0358202674189,-116.9458202674189,nan
10208043.854242193,0.0,0.0,65.91,-51.0358202674189,-116.9458202674189,nan
10208043.854242193,0.0,0.0,65.91,-51.0358202674189,-116.9458202674189,nan
10208043.854242193,0.0,0.0,65.91,-51.0358202674189,-116.9458202674189,nan
10208043.854242193,0.0,0.0,65.9,-51.0358202674189,-116.9358202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.89,-51.0358202674189,-116.9258202674189,nan
10208043.854242193,0.0,0.0,65.88,-51.0358202674189,-116.9158202674189,nan
10208043.854242193,0.0,0.0,65.88,-51.0358202674189,-116.9158202674189,nan
