distance,latitude,longitude,yaw,heading,delta,precision
175.82079639401283,38.94254973628872,-92.31967482340289,99.84,146.0208198091732,245.8608198091732,2
165.89600305594522,38.94252715889846,-92.31950534713891,99.84,149.73669093214278,249.57669093214278,2
165.3321051189537,38.94252583508035,-92.3194952948226,99.84,149.97121063917388,249.81121063917388,2
165.2235788834792,38.942525597395225,-92.31949331470587,99.84,150.01803988803124,249.85803988803124,2
165.20304250794626,38.942525557367794,-92.31949292868703,99.84,150.02729784476617,249.86729784476617,2
165.19645421043964,38.942525529234366,-92.31949283892206,99.84,150.0290883339444,249.8690883339444,2
165.19690027474368,38.94252554529158,-92.31949281344585,99.84,150.03005970280037,249.87005970280038,2
165.19671045056174,38.942525548242216,-92.3194928024732,99.84,150.0304016796602,249.8704016796602,2
165.22894401032138,38.94252574867814,-92.31949310166209,82.03,150.0264892620071,232.0564892620071,2
165.36967175665603,38.94252653513382,-92.31949460507968,80.63,150.00260150573644,230.63260150573643,2
165.68015540743392,38.94252777126266,-92.31949902784946,86.44,149.91180482663685,236.35180482663685,2
166.4208617661665,38.94253032814878,-92.31951040287515,90.53,149.6678129360438,240.1978129360438,2
167.53992185396496,38.94253394172381,-92.31952799999686,90.58,149.28798042667245,239.86798042667243,2
168.38708769351734,38.94253682848363,-92.31954088932994,79.89,149.01765110809606,228.90765110809605,2
169.25804459491124,38.942540263517884,-92.3195530640737,83.1,148.77862581757267,231.87862581757267,2
170.22204588258157,38.9425442366315,-92.3195661048597,86.46,148.53105599200023,234.9910559920002,2
171.39581133105258,38.94254888105139,-92.31958229137622,87.08,148.2220278281431,235.30202782814308,2
172.4792927088211,38.942552846380586,-92.31959779818975,94.46,147.92043455131,242.38043455130997,2
173.44161216752582,38.942555522435036,-92.3196132009071,99.9,147.5997662789082,247.4997662789082,2
174.34380610211525,38.9425572338682,-92.31962913243419,106.27,147.2509484372316,253.5209484372316,2
174.92998472383172,38.94255767605397,-92.31964073693631,118.35,146.98318373290903,265.333183732909,2
175.44948703988462,38.942556993296456,-92.31965305903671,110.84,146.67785308963204,257.517853089632,2
175.74478004143288,38.94255680488785,-92.3196596287185,79.95,146.5193147744303,226.4693147744303,2
175.97685168865803,38.942557023220715,-92.31966406293095,84.85,146.41953024834123,231.26953024834123,2
176.1912104095312,38.942557074090956,-92.31966843980575,93.25,146.31799275534354,239.56799275534354,2
176.63011831380012,38.94255760434643,-92.31967654990667,89.95,146.1392666964682,236.0892666964682,2
177.47022135676005,38.94255975400936,-92.31968982555111,89.9,145.87444922500106,235.77444922500106,2
178.5527728898792,38.9425627518388,-92.31970639259679,93.31,145.55384375014472,238.86384375014472,2
179.57487479374603,38.94256534807354,-92.31972236570597,95.09,145.24245269442406,240.33245269442406,2
180.50322736964915,38.94256736948623,-92.31973739933474,93.43,144.94404940718567,238.37404940718568,2
181.40111124528008,38.94256897650291,-92.31975247824553,97.64,144.6392780609121,242.27927806091208,2
182.26235446883913,38.942570603694875,-92.3197666933229,96.09,144.35700997892502,240.44700997892502,2
183.15800268978012,38.942572239247454,-92.31978148518581,98.56,144.06493717222202,242.62493717222202,2
184.1523261168538,38.942573718065006,-92.31979838932563,98.58,143.72665714370157,242.30665714370156,2
185.2185597524784,38.94257516291464,-92.31981662297312,99.44,143.36277216357223,242.80277216357223,2
186.1531151427302,38.94257621367082,-92.31983285643196,101.26,143.03747522963647,244.29747522963646,2
187.04181376449972,38.94257714989679,-92.31984829450758,101.33,142.7298411490259,244.05984114902589,2
