distance,latitude,longitude,yaw,heading,delta,precision
178.16930768265235,38.94253965759578,-92.31974096310893,100.79,144.29373469859695,245.08373469859697,2
166.39670617795585,38.9425259219556,-92.31951947319534,100.79,149.3494726634832,250.13947266348322,2
165.74246222395712,38.94252511029745,-92.31950633602378,100.79,149.6714684234359,250.46146842343592,2
165.61568264925475,38.94252496223101,-92.31950375603586,100.79,149.7352226995681,250.52522269956813,2
165.59188128317658,38.94252493655872,-92.31950326646314,100.79,149.74737857894308,250.5373785789431,2
165.5915483687269,38.94252494164234,-92.31950324761598,97.15,149.74796431113487,246.89796431113487,2
165.60631658110006,38.942525048184905,-92.3195033516878,79.85,149.74733929707656,229.59733929707656,2
165.69275283824174,38.94252546770103,-92.31950441042895,78.86,149.7281148129956,228.58811481299563,2
165.7975241686097,38.94252589962925,-92.31950586168048,90.36,149.69902127290197,240.059021272902,2
165.94927553544406,38.94252651877031,-92.31950797615136,77.59,149.6565004193609,227.2465004193609,2
166.14108089212274,38.94252733902383,-92.31951056312636,83.92,149.60580109854413,233.52580109854415,2
166.42144577008156,38.9425284939346,-92.31951443552764,85.03,149.52871315442337,234.55871315442337,2
166.794929054501,38.94252999986492,-92.31951965435279,85.11,149.42425021704537,234.53425021704538,2
167.2457611627001,38.94253181200896,-92.31952594962812,88.98,149.29877614849175,238.27877614849177,2
167.77354180974933,38.94253381879647,-92.31953354333238,93.98,149.14483249090102,243.12483249090104,2
168.3335264261271,38.94253578641246,-92.31954191639109,99.75,148.97142793850082,248.72142793850082,2
168.89992260776032,38.94253758398137,-92.31955075923388,105.89,148.78406263538267,254.67406263538265,2
169.4539754596574,38.94253921261751,-92.31955964413616,101.94,148.59359259711755,250.53359259711755,2
170.01666074923972,38.94254090273888,-92.31956854997466,83.78,148.40505346581506,232.18505346581506,2
170.52256491796464,38.94254240418413,-92.31957656044865,92.57,148.23616506483387,240.80616506483386,2
171.03073212698186,38.94254381464753,-92.31958477587146,93.87,148.0614452001176,241.9314452001176,2
171.6014605887084,38.942545264385096,-92.31959423675627,92.16,147.85807434099064,240.01807434099064,2
172.2380705125374,38.94254696242367,-92.31960457080353,91.1,147.6397443641024,238.7397443641024,2
172.91994782897754,38.9425487870064,-92.3196155689132,94.47,147.4094999006403,241.8794999006403,2
178.4937598274865,38.942563214482135,-92.31970431722121,94.77,145.61069817285113,240.3806981728511,2
179.6599286554464,38.94256619885498,-92.3197225142862,94.81,145.2562858291032,240.0662858291032,2
179.68839301992347,38.94256612695326,-92.3197232249136,66.51,145.23872965530154,211.74872965530153,2
178.43744068144207,38.94255960621009,-92.31970991987112,71.2,145.4095363994545,216.6095363994545,2
175.99476696858798,38.94254910924255,-92.31967961021685,89.18,145.89636950605188,235.0763695060519,2
173.21187728148269,38.94253963552724,-92.31963990675312,90.13,146.64153351343828,236.77153351343827,2
170.5042154474671,38.942532805735325,-92.31959583693937,105.82,147.57102696927637,253.39102696927637,2
168.43803725379692,38.942530872738594,-92.31955466296924,93.3,148.55428442237383,241.85428442237384,2
